Base distance: 74.0

 SUMMARY (Distance, Route) :
9.0 : St38 - 
7.0 : St36 - 
9.0 : St38 - 
9.0 : St35 - 
9.0 : St38 - 
9.0 : St35 - 
9.0 : St38 - 
13.0 : St20 - 
9.0 : St38 - 
13.0 : St20 - 
9.0 : St38 - 
8.0 : St5 - 
9.0 : St38 - 
9.0 : St35 - 
9.0 : St38 - 
9.0 : St35 - 
9.0 : St38 - 
8.0 : St5 - 
8.0 : St35 - 
14.0 : St20 - 
8.0 : St35 - 
8.0 : St38 - 
8.0 : St35 - 
8.0 : St38 - 
8.0 : St35 - 
6.0 : St5 - 
8.0 : St35 - 
14.0 : St20 - 
8.0 : St35 - 
5.0 : St36 - 
8.0 : St35 - 
8.0 : St38 - 
8.0 : St35 - 
8.0 : St38 - 
8.0 : St35 - 
10.0 : St34 - 
14.0 : St20 - 
10.0 : St34 - 
7.0 : St5 - 
10.0 : St34 - 
7.0 : St5 - 
10.0 : St34 - 
5.0 : St5 - 
13.0 : St34 - 
5.0 : St5 - 
9.0 : St38 - 
5.0 : St5 - 
7.0 : St36 - 
5.0 : St5 - 
10.0 : St35 - 
5.0 : St5 - 
15.0 : St20 - 
5.0 : St5 - 
15.0 : St20 - 
5.0 : St5 - 
13.0 : St34 - 
5.0 : St5 - 
9.0 : St38 - 
5.0 : St5 - 
5.0 : St36 - 
8.0 : St38 - 
5.0 : St36 - 
14.0 : St20 - 
5.0 : St36 - 
7.0 : St5 - 
5.0 : St36 - 
8.0 : St35 - 
5.0 : St36 - 
10.0 : St20 - 
10.0 : St35 - 
10.0 : St20 - 
11.0 : St34 - 
10.0 : St20 - 
9.0 : St36 - 
10.0 : St20 - 
10.0 : St38 - 
10.0 : St20 - 
10.0 : St38 - 
10.0 : St20 - 
11.0 : St5 - 
10.0 : St20 - 
11.0 : St5 - 
10.0 : St20 - 
10.0 : St35 - 
10.0 : St20 - 
